,subset,A_ref,A_metric,A_align,A_CR_pearson,A_label,B_ref,B_metric,B_align,B_CR_pearson,B_label,A_B_pearson,A_B_sign_pv,A_B_sign_level
50,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,intp,chrf,one_seq,0.6616671905938879,chrf intp one_seq,0.649726251726656,0.002103969947855111,0.0
51,both,intp,chrf,one_seq,0.6616671905938879,chrf intp one_seq,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.649726251726656,0.002103969947855111,0.0
52,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,ref+mw-intp,bleu,sent+mw,0.6767748075810378,bleu ref+mw-intp sent+mw,0.6515210919645729,0.00012379573178433745,0.0
53,both,ref+mw-intp,bleu,sent+mw,0.6767748075810378,bleu ref+mw-intp sent+mw,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.6515210919645729,0.00012379573178433745,0.0
54,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,intp,bertscore.f1,one_seq,0.6882929980244962,bertscore.f1 intp one_seq,0.6968443462496675,2.4730625316493615e-06,0.0
55,both,intp,bertscore.f1,one_seq,0.6882929980244962,bertscore.f1 intp one_seq,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.6968443462496675,2.4730625316493615e-06,0.0
56,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,intp,comet-da,mwer,0.7066723834504169,comet-da intp mwer,0.7043757105937477,6.322032675143419e-09,0.0
57,both,intp,comet-da,mwer,0.7066723834504169,comet-da intp mwer,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.7043757105937477,6.322032675143419e-09,0.0
58,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,ref,bleu,one_seq,0.7095519042055043,bleu ref one_seq,0.6562073043915598,2.2707598912319327e-08,0.0
59,both,ref,bleu,one_seq,0.7095519042055043,bleu ref one_seq,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.6562073043915598,2.2707598912319327e-08,0.0
60,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,ref,chrf,one_seq,0.7226648324543509,chrf ref one_seq,0.6749561045612523,9.610601203746683e-11,0.0
61,both,ref,chrf,one_seq,0.7226648324543509,chrf ref one_seq,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.6749561045612523,9.610601203746683e-11,0.0
62,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,ref+intp,chrf,one_seq,0.7234598968042771,chrf ref+intp one_seq,0.6791158489150231,5.5319082647997675e-11,0.0
63,both,ref+intp,chrf,one_seq,0.7234598968042771,chrf ref+intp one_seq,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.6791158489150231,5.5319082647997675e-11,0.0
64,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,ref,chrf,sent,0.7313755210409066,chrf ref sent,0.7098176247286372,2.113864638886298e-13,0.0
65,both,ref,chrf,sent,0.7313755210409066,chrf ref sent,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.7098176247286372,2.113864638886298e-13,0.0
66,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,ref+intp,bleu,one_seq,0.733119580654065,bleu ref+intp one_seq,0.6925249661740286,3.894662370385049e-13,0.0
